Price,Close,High,Low,Open,Volume,company_name
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-10-26,226.4913787841797,233.32567243013398,225.2576707603945,226.34450095549056,82543200,MICROSOFT
2022-10-27,222.01675415039062,228.8118889501119,221.06700101900176,226.21719686136822,40424600,MICROSOFT
2022-10-28,230.94638061523438,231.6611531534628,221.33137373801566,221.51741001672517,40647700,MICROSOFT
2022-10-31,227.2844696044922,230.01622392707068,226.32491559359812,228.88043444903704,28357300,MICROSOFT
2022-11-01,223.40711975097656,230.81910882214837,222.58465770971134,229.70290606892462,30592300,MICROSOFT
2022-11-02,215.5055694580078,226.47177415281237,215.4468093670209,224.67018647629374,38407000,MICROSOFT
2022-11-03,209.7776641845703,215.8090815922982,209.51329608376886,215.4957542224193,36633900,MICROSOFT
2022-11-04,216.76866149902344,216.96448367208396,208.97481351291196,213.00882199127454,36789100,MICROSOFT
2022-11-07,223.11337280273438,223.64210905753552,216.66093790033182,217.35612373452656,33498000,MICROSOFT
2022-11-08,224.09246826171875,226.81443619770013,221.12571892904643,223.9260187048014,28192500,MICROSOFT
2022-11-09,219.8235321044922,223.85754063557675,219.64729662851667,222.6238325426508,27852900,MICROSOFT
2022-11-10,237.907958984375,238.25065895632184,230.0945400625486,230.5155569432471,46268000,MICROSOFT
2022-11-11,241.9517822265625,242.81341772993616,236.87990270480543,237.91778862490293,34620200,MICROSOFT
2022-11-14,236.50782775878906,238.81856512501489,234.21667709082797,236.93864547897454,31123300,MICROSOFT
2022-11-15,236.9190673828125,241.84406888595643,235.01956096953973,240.5320439197712,31390100,MICROSOFT
2022-11-16,237.35105895996094,239.38356811952744,236.06479199573343,238.3918546720114,24093300,MICROSOFT
2022-11-17,237.302001953125,238.84356886974595,233.32537897942896,233.4726557627589,23123500,MICROSOFT
2022-11-18,236.85031127929688,239.3246657828085,234.6999806378717,239.09882143559938,27613500,MICROSOFT
2022-11-21,237.665283203125,240.23781728148245,236.8208614471362,237.05650427423635,26394700,MICROSOFT
2022-11-22,240.59127807617188,240.86620467498184,236.34954270712095,239.17736129236292,19665700,MICROSOFT
2022-11-23,243.09512329101562,243.78243988838923,239.84508589442336,240.66986581127168,19508500,MICROSOFT
2022-11-25,243.00672912597656,244.19480161069367,242.26048692164872,242.82998203144444,9200800,MICROSOFT
2022-11-28,237.38050842285156,242.18192539702906,236.43790722800586,241.6222587467849,24778200,MICROSOFT
2022-11-29,235.97645568847656,238.39188472426275,233.8948640019652,237.027064989401,17956300,MICROSOFT
2022-11-30,250.51815795898438,250.70471852080405,235.51495518026599,236.21210017721677,47594200,MICROSOFT
2022-12-01,250.0763397216797,251.48042834219967,246.37462838572324,249.27118667986457,26041500,MICROSOFT
2022-12-02,250.40032958984375,251.42148344936865,245.16688047663357,245.2945303274655,21528500,MICROSOFT
2022-12-05,245.66761779785156,249.22205159608075,243.56638455022468,247.4448272057783,23435300,MICROSOFT
2022-12-06,240.6796875,247.29759892361713,239.3639649711199,246.27644494150778,22463700,MICROSOFT
2022-12-07,239.94322204589844,241.70080450831279,237.82236192628386,240.39489571817194,20481500,MICROSOFT
2022-12-08,242.91835021972656,244.23408754539898,238.65697278896897,240.40472694227282,22611800,MICROSOFT
2022-12-09,240.97422790527344,243.81187510910007,239.73705813217018,240.26726946853532,20609700,MICROSOFT
2022-12-12,247.93577575683594,247.96523110822213,242.69251345682534,242.96744005801403,30665100,MICROSOFT
2022-12-13,252.2659149169922,259.13911012222144,248.48565156116547,256.94949571953015,42196900,MICROSOFT
2022-12-14,252.56051635742188,257.83323517087837,249.70322678422994,252.47215028378815,35410900,MICROSOFT
2022-12-15,244.4991912841797,249.5951770987246,242.8594450460343,249.1238764690628,35560400,MICROSOFT
2022-12-16,240.2574462890625,245.31414811434402,239.0988141825931,244.04752303949846,86102000,MICROSOFT
2022-12-19,236.09425354003906,240.76803589280172,234.3857831687953,240.4243701377892,29696400,MICROSOFT
2022-12-20,237.41981506347656,238.50970810030006,234.10103870258786,235.06328188479955,25150800,MICROSOFT
2022-12-21,240.00216674804688,241.17061240909877,235.76043092550097,237.311811174577,23690600,MICROSOFT
2022-12-22,233.87522888183594,237.60639548988934,229.63347779502695,236.88960853508948,28651700,MICROSOFT
2022-12-23,234.40542602539062,234.54288934026997,229.70220298266847,231.83289185448697,21207000,MICROSOFT
2022-12-27,232.66749572753906,234.60179555616128,231.55796079001962,234.37596618226544,16688600,MICROSOFT
2022-12-28,230.28150939941406,235.37749542343812,229.9280301670431,232.5987588155398,17457100,MICROSOFT
2022-12-29,236.64413452148438,237.5376536034291,231.38122952010986,231.38122952010986,19770700,MICROSOFT
2022-12-30,235.47567749023438,235.61314079654275,232.37291716798632,233.89484197649975,21938500,MICROSOFT
2023-01-03,235.24002075195312,241.2982496784464,233.09950356417312,238.67661840759735,25740000,MICROSOFT
2023-01-04,224.9498748779297,228.6515707937887,221.86675636636124,228.07226219993836,50623400,MICROSOFT
2023-01-05,218.28286743164062,223.42795059014287,217.74282764687024,223.0842848228225,39585600,MICROSOFT
2023-01-06,220.85540771484375,221.67037414337992,215.376502057129,218.96037666884743,43613600,MICROSOFT
2023-01-09,223.00572204589844,227.05109853622983,222.30859206839725,222.34786087714497,27369800,MICROSOFT
2023-01-10,224.7044219970703,227.11985106977494,223.21195237781274,223.63415579969376,27033900,MICROSOFT
2023-01-11,231.49905395507812,231.67578608133306,226.92346579858452,227.10019792483945,28669300,MICROSOFT
2023-01-12,234.1894073486328,235.55422702400872,229.32907915113603,230.99828080713587,27269500,MICROSOFT
2023-01-13,234.89637756347656,235.03384088361543,230.66445501236748,232.7067778989866,21333300,MICROSOFT
2023-01-17,235.99607849121094,236.54593172373328,232.79512362957803,233.65918727061418,29831300,MICROSOFT
2023-01-18,231.53831481933594,237.9893068890098,231.25357474268407,237.19398238340665,30028700,MICROSOFT
2023-01-19,227.72860717773438,231.25358612173252,226.50125078588513,229.5451006306224,28623000,MICROSOFT
2023-01-20,235.86842346191406,236.3790078733517,230.2618533398891,230.60551909385947,35389800,MICROSOFT
2023-01-23,238.18569946289062,240.72877838403122,235.30876820697657,236.7325136482929,31934000,MICROSOFT
2023-01-24,237.65545654296875,239.53086062869244,236.08444941515683,238.1071302689207,40234400,MICROSOFT
2023-01-25,236.25137329101562,238.8926465935646,226.71726242697446,230.23241286471827,66526600,MICROSOFT
2023-01-26,243.5075225830078,243.81190458905598,237.61621155277376,239.23631609313665,33454500,MICROSOFT
2023-01-27,243.6645965576172,245.30434278619185,242.35868764883875,244.47956294350342,26498900,MICROSOFT
2023-01-30,238.3133544921875,241.151002013822,237.81258347035998,240.08073579959722,25867400,MICROSOFT
